Mme/M,Députés,id,photo,Groupe,Ministre,Fonction,Partis,Précision,Téléphone / Portable,Mail,Départements,Circonscription,Tribune Le Monde signataires interdiction glyphosate,Co-signataires amendement Mathieu Oprhelin,1er scrutin Absent / Présent,Pour/Contre,2ème scrutin Absent / Présent,Pour/Contre,SCRUTIN ENVOYE SPECIAL
M.,Luc Carvounas,omc_pa429893,http://www2.assemblee-nationale.fr/static/tribun/15/photos/429893.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 92 05,luc.carvounas@assemblee-nationale.fr,Val-de-Marne,9,,,,,PRESENT,POUR,POUR
Mme,Huguette Bello,omc_pa441,http://www2.assemblee-nationale.fr/static/tribun/15/photos/441.jpg,Gauche démocrate et républicaine,,,PCF,,01 40 63 71 10 OU 01 40 63 78 13,huguette.bello@assemblee-nationale.fr  huguette.bello@wanadoo.fr,Réunion,2,,,,,,,
Mme,Gisèle Biémouret,omc_pa508,http://www2.assemblee-nationale.fr/static/tribun/15/photos/508.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 33 17,biemouret.gisele@orange.fr  gisele.biemouret@assemblee-nationale.fr,Gers,2,,,,,,,POUR
Mme,Clémentine Autain,omc_pa588884,http://www2.assemblee-nationale.fr/static/tribun/15/photos/588884.jpg,La France insoumise,,,LFI,,01 40 63 96 01,clementineautain93@gmail.com  clementine.autain@assemblee-nationale.fr,Seine-Saint-Denis,11,,,,,,,POUR
M.,Damien Abad,omc_pa605036,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605036.jpg,Les Républicains,,,LR,,01 40 63 91 07,damien.abad@assemblee-nationale.fr,Ain,5,,,,,,,ABSTENTION
M.,Jean-Louis Bricout,omc_pa605069,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605069.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 96 03,jean-louis.bricout@assemblee-nationale.fr  bricoutjl@orange.fr,Aisne,3,,,,,,,POUR
M.,Jacques Krabal,omc_pa605084,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605084.jpg,La République en Marche,,,LREM,,01 40 63 75 74,jacques.krabal@assemblee-nationale.fr,Aisne,5,,,,,,,NE REPOND PAS
M.,François-Michel Lambert,omc_pa605518,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605518.jpg,Libertés et Territoires,,,LREM,,01 40 63 31 01,francois-michel.lambert@assemblee-nationale.fr ,Bouches-du-Rhône,10,,SIGNATAIRE,,,PRESENT,POUR,POUR
M.,Olivier Falorni,omc_pa605694,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605694.jpg,Libertés et Territoires,,,NI,PRG,01 40 63 05 15,olivier.falorni@assemblee-nationale.fr,Charente-Maritime,1,,,,,,,
M.,Éric Alauzet,omc_pa605963,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605963.jpg,La République en Marche,,,LREM,,01.40.63.73.51,eric.alauzet@assemblee-nationale.fr depute@alauzet.net,Doubs,2,,SIGNATAIRE,,,PRESENT,POUR,POUR
Mme,Annie Genevard,omc_pa605991,http://www2.assemblee-nationale.fr/static/tribun/15/photos/605991.jpg,Les Républicains,,,LR,,01 40 63 33 09,annie.genevard@assemblee-nationale.fr,Doubs,5,,,,,,,
M.,Olivier Marleix,omc_pa606098,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606098.jpg,Les Républicains,,,LR,,01 40 63 91 01 OU 01 40 63 91 28,olivier.marleix@assemblee-nationale.fr ,Eure-et-Loir,2,,,,,,,
M.,Richard Ferrand,omc_pa606171,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606171.jpg,La République en Marche,,Président,LREM,,01 40 63 63 76,richard.ferrand@assemblee-nationale.fr,Finistère,6,,,Présent,Contre,,NON-VOTANT,
Mme,Françoise Dumas,omc_pa606202,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606202.jpg,La République en Marche,,,LREM,,01 40 63 74 30,francoise.dumas@assemblee-nationale.fr,Gard,1,,,,,,,
M.,Gilbert Collard,omc_pa606212,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606212.jpg,Non inscrit,,,NI (RN),,01 40 63 01 06 OU 01 40 63 01 86,gilbert-collard@orange.fr  gilbert.collard@assemblee-nationale.fr,Gard,2,,,,,,,
M.,Florent Boudié,omc_pa606507,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606507.jpg,La République en Marche,,,LREM,,01 40 63 69 77,florent.boudie@assemblee-nationale.fr  contact@florentboudie.fr,Gironde,10,,,,,,,POUR
M.,Patrick Vignal,omc_pa606639,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606639.jpg,La République en Marche,,,LREM,,01 40 63 76 59 OU 01 40 63 79 87,patrick.vignal@assemblee-nationale.fr  vignalpatrick@gmail.com,Hérault,9,,SIGNATAIRE,,,,,
M.,François André,omc_pa606675,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606675.jpg,La République en Marche,,,LREM,Apparenté au,01 40 63 31 06  OU 01 40 63 31 86,francois.andre@assemblee-nationale.fr,Ille-et-Vilaine,3,,,,,,,
M.,Gilles Lurton,omc_pa606712,http://www2.assemblee-nationale.fr/static/tribun/15/photos/606712.jpg,Les Républicains,,,LR,,01 40 63 72 34,gilles.lurton@assemblee-nationale.fr,Ille-et-Vilaine,7,,,Présent,Contre,PRESENT,CONTRE,
M.,Jean-Pierre Vigier,omc_pa607090,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607090.jpg,Les Républicains,,,LR,,01 40 63 72 63,jean-pierre.vigier@assemblee-nationale.fr,Haute-Loire,2,,,,,,,CONTRE
M.,Yves Daniel,omc_pa607155,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607155.jpg,La République en Marche,,,LREM,,01 40 63 76 74  OU 01 40 63 79 58,yves.daniel@assemblee-nationale.fr,Loire-Atlantique,6,,,,,,,POUR
Mme,Sophie Errante,omc_pa607193,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607193.jpg,La République en Marche,,,LREM,,01 40 63 03 02,sophie.errante@assemblee-nationale.fr,Loire-Atlantique,10,,,,,,,
M.,Stéphane Travert,omc_pa607395,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607395.jpg,La République en Marche,Grégory Galbadon,,LREM,,02 33 07 95 92 ( permanence à La Haye),gregory.galbadon@assemblee-nationale.fr,Manche,3,,,,,,,
M.,Dominique Potier,omc_pa607553,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607553.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 71 69,dominique.potier@assemblee-nationale.fr,Meurthe-et-Moselle,5,,,,,,,CONTRE
M.,Hervé Pellois,omc_pa607595,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607595.jpg,La République en Marche,,,LREM,,01 40 63 76 03,herve.pellois@assemblee-nationale.fr,Morbihan,1,,,,,,,
M.,Paul Molac,omc_pa607619,http://www2.assemblee-nationale.fr/static/tribun/15/photos/607619.jpg,Libertés et Territoires,,,LREM,,01 40 63 75 78,paul.molac@assemblee-nationale.fr,Morbihan,4,,SIGNATAIRE,,,PRESENT,POUR,POUR
M.,Joaquim Pueyo,omc_pa608011,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608011.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 50 94,joaquim.pueyo@assemblee-nationale.fr,Orne,1,,,,,,,POUR
Mme,Véronique Louwagie,omc_pa608016,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608016.jpg,Les Républicains,,,LR,,01 40 63 72 65,velouwagie@gmail.com  veronique.louwagie@assemblee-nationale.fr,Orne,2,,,Présent,Contre,,,
Mme,Brigitte Bourguignon,omc_pa608083,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608083.jpg,La République en Marche,,,LREM,,01 40 63 65 21,brigitte.bourguignon@orange.fr  brigitte.bourguignon@assemblee-nationale.fr,Pas-de-Calais,6,,,,,,,
Mme,Christine Pires Beaune,omc_pa608172,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608172.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 71 68,christine.piresbeaune@assemblee-nationale.fr,Puy-de-Dôme,2,,,,,,,POUR
Mme,Jeanine Dubié,omc_pa608292,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608292.jpg,Libertés et Territoires,,,NI,PRG,01 40 63 05 11,jeanine.dubie@assemblee-nationale.fr,Hautes-Pyrénées,2,,,,,,,
M.,Patrick Hetzel,omc_pa608416,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608416.jpg,Les Républicains,,,LR,,01 40 63 72 69,patrick.hetzel@assemblee-nationale.fr,Bas-Rhin,7,,,,,,,
M.,Yves Blein,omc_pa608641,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608641.jpg,La République en Marche,,,LREM,,01 40 63 68 11,yves.blein@assemblee-nationale.fr,Rhône,14,,,,,,,CONTRE
Mme,Cécile Untermaier,omc_pa608695,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608695.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 71 63,cecile.untermaier@assemblee-nationale.fr  c.untermaier@orange.fr,Saône-et-Loire,4,,,,,,,POUR
Mme,Sylvie Tolmont,omc_pa608741,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608741.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,02.43.20.65.75 ( TEL circ.),sylvie.tolmont@assemblee-nationale.fr,Sarthe,4,,,,,,,
Mme,Virginie Duby-Muller,omc_pa608826,http://www2.assemblee-nationale.fr/static/tribun/15/photos/608826.jpg,Les Républicains,,,LR,,01 40 63 72 32,virginie.duby-muller@assemblee-nationale.fr,Haute-Savoie,4,,,,,,,
Mme,Valérie Lacroute,omc_pa609245,http://www2.assemblee-nationale.fr/static/tribun/15/photos/609245.jpg,Les Républicains,,,LR,,01 64 22 46 30 ( TEL en circ.),valerie.lacroute@assemblee-nationale.fr,Seine-et-Marne,2,,,,,,,
M.,Olivier Faure,omc_pa609332,http://www2.assemblee-nationale.fr/static/tribun/15/photos/609332.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 69 00,ofaure@assemblee-nationale.fr,Seine-et-Marne,11,,,,,PRESENT,POUR,POUR
Mme,Barbara Pompili,omc_pa609520,http://www2.assemblee-nationale.fr/static/tribun/15/photos/609520.jpg,La République en Marche,,,LREM,,01 40 63 25 12,barbara.pompili@assemblee-nationale.fr,Somme,2,SIGNATAIRE,SIGNATAIRE,Présent,Pour,PRESENT,POUR,
Mme,Valérie Rabault,omc_pa609590,http://www2.assemblee-nationale.fr/static/tribun/15/photos/609590.jpg,Socialistes et apparentés,,Présidente,NOUVELLE GAUCHE,,05 63 20 87 62 ( Tel circ.),valerie.rabault@assemblee-nationale.fr,Tarn-et-Garonne,1,,,,,PRESENT,POUR,
M.,Julien Aubert,omc_pa609726,http://www2.assemblee-nationale.fr/static/tribun/15/photos/609726.jpg,Les Républicains,,,LR,,01 40 63 05 09,julien.aubert@assemblee-nationale.fr,Vaucluse,5,,,,,,,
M.,Jean-Philippe Nilor,omc_pa610654,http://www2.assemblee-nationale.fr/static/tribun/15/photos/610654.jpg,Gauche démocrate et républicaine,,,PCF,,01 40 63 92 02,jean-philippe.nilor@wanadoo.fr  jean-philippe.nilor@assemblee-nationale.fr,Martinique,4,,,,,,,
M.,Gabriel Serville,omc_pa610667,http://www2.assemblee-nationale.fr/static/tribun/15/photos/610667.jpg,Gauche démocrate et républicaine,,,PCF,,01 40 63 33 19,gabriel.serville@orange.fr  gabriel.serville@assemblee-nationale.fr,Guyane,1,,,,,,,POUR
Mme,Ericka Bareigts,omc_pa610681,http://www2.assemblee-nationale.fr/static/tribun/15/photos/610681.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 71 78,ericka.bareigts@assemblee-nationale.fr,Réunion,1,,,,,,,POUR
M.,Philippe Gomès,omc_pa610775,http://www2.assemblee-nationale.fr/static/tribun/15/photos/610775.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 69 97,philippe.gomes@assemblee-nationale.fr,Nouvelle-Calédonie,2,,,,,,,
M.,Éric Bothorel,omc_pa642695,http://www2.assemblee-nationale.fr/static/tribun/15/photos/642695.jpg,La République en Marche,,,LREM,,01 40 63 73 52,eric.bothorel@assemblee-nationale.fr,Côtes-d'Armor,5,,,,,,,CONTRE
M.,Frédéric Barbier,omc_pa642724,http://www2.assemblee-nationale.fr/static/tribun/15/photos/642724.jpg,La République en Marche,,,LREM,,03 81 30 79 05,barbier.frederic25@gmail.com  frederic.barbier@assemblee-nationale.fr,Doubs,4,SIGNATAIRE,,,,,,
M.,Joël Aviragnet,omc_pa642764,http://www2.assemblee-nationale.fr/static/tribun/15/photos/642764.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 92 04,joelaviragnet@gmail.com  joel.aviragnet@assemblee-nationale.fr,Haute-Garonne,8,,,,,,,POUR
M.,Olivier Véran,omc_pa642788,http://www2.assemblee-nationale.fr/static/tribun/15/photos/642788.jpg,La République en Marche,,,LREM,,01 40 63 65 11,olivier.veran@assemblee-nationale.fr,Isère,1,,,,,,,
M.,Thibault Bazin,omc_pa642847,http://www2.assemblee-nationale.fr/static/tribun/15/photos/642847.jpg,Les Républicains,,,LR,,01 40 63 91 12,thibault.bazin@assemblee-nationale.fr,Meurthe-et-Moselle,4,,,,,,,
M.,Paul Christophe,omc_pa642868,http://www2.assemblee-nationale.fr/static/tribun/15/photos/642868.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 06 09,paul.christophe@assemblee-nationale.fr,Nord,14,,,,,,,
M.,Olivier Becht,omc_pa642935,http://www2.assemblee-nationale.fr/static/tribun/15/photos/642935.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 96 05,olivier.becht@assemblee-nationale.fr  cab.olivierbecht@gmail.com,Haut-Rhin,5,,,,,,,POUR
M.,Jean-Louis Thiériot,omc_pa643089,http://www2.assemblee-nationale.fr/static/tribun/15/photos/643089.jpg,Les Républicains,,,LR,,01.40.63.75.81,jean-louis.thieriot@assemblee-nationale.fr,Seine-et-Marne,3,,,,,,,
M.,Jean-Jacques Ferrara,omc_pa643103,http://www2.assemblee-nationale.fr/static/tribun/15/photos/643103.jpg,Les Républicains,,,LR,,01 40 63 33 08,jean-jacques.ferrara@assemblee-nationale.fr,Corse-du-Sud,1,,,,,,,
M.,Bruno Questel,omc_pa643127,http://www2.assemblee-nationale.fr/static/tribun/15/photos/643127.jpg,La République en Marche,,,LREM,,01 40 63 60 25,bruno.questel@assemblee-nationale.fr,Eure,4,,,,,,,CONTRE
Mme,Isabelle Valentin,omc_pa643134,http://www2.assemblee-nationale.fr/static/tribun/15/photos/643134.jpg,Les Républicains,,,LR,,01 40 63 68 84,isabelle.valentin@assemblee-nationale.fr,Haute-Loire,1,,,,,,,CONTRE
Mme,Hélène Vainqueur-Christophe,omc_pa643145,http://www2.assemblee-nationale.fr/static/tribun/15/photos/643145.jpg,Socialistes et apparentés,,,NOUVELLE GAUCHE,,01 40 63 71 60,helene.vainqueur@assemblee-nationale.fr  helene.vainqueur@wanadoo.fr,Guadeloupe,4,,,,,,,
Mme,Stella Dupont,omc_pa643175,http://www2.assemblee-nationale.fr/static/tribun/15/photos/643175.jpg,La République en Marche,,,LREM,,01 40 63 48 15 OU 02 41 17 26 02,stella.dupont@assemblee-nationale.fr,Maine-et-Loire,2,,,,,,,POUR
Mme,Anne-Christine Lang,omc_pa643205,http://www2.assemblee-nationale.fr/static/tribun/15/photos/643205.jpg,La République en Marche,,,LREM,,01 40 63 94 03,anne-christine.lang@assemblee-nationale.fr,Paris,10,,,Présent,Contre,,,
M.,Jean-Jacques Bridey,omc_pa672,http://www2.assemblee-nationale.fr/static/tribun/15/photos/672.jpg,La République en Marche,,,LREM,,01 40 63 41 04,jean-jacques.bridey@assemblee-nationale.fr,Val-de-Marne,7,,,Présent,Contre,PRESENT,CONTRE,CONTRE
M.,Stéphane Mazars,omc_pa677483,http://www2.assemblee-nationale.fr/static/tribun/15/photos/677483.jpg,La République en Marche,,,LREM,,01 40 63 73 17,stephane.mazars@assemblee-nationale.fr,Aveyron,1,,,,,,,CONTRE
Mme,Marie-George Buffet,omc_pa689,http://www2.assemblee-nationale.fr/static/tribun/15/photos/689.jpg,Gauche démocrate et républicaine,,,PCF,,01 40 63 60 86 OU 01 40 63 54 55,marie-george.buffet@assemblee-nationale.fr  marie-george.buffet@wanadoo.fr,Seine-Saint-Denis,4,,,,,,,POUR
M.,Meyer Habib,omc_pa695100,http://www2.assemblee-nationale.fr/static/tribun/15/photos/695100.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 66 88,meyer.habib@assemblee-nationale.fr,Français établis hors de France,8,,,,,,,
Mme,Maina Sage,omc_pa702052,http://www2.assemblee-nationale.fr/static/tribun/15/photos/702052.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 71 45,maina.sage@assemblee-nationale.fr,Polynésie Française,1,,,,,,,
M.,Stéphane Claireaux,omc_pa702054,http://www2.assemblee-nationale.fr/static/tribun/15/photos/702054.jpg,La République en Marche,,,LREM,,01 40 63 73 03,stephane.claireaux@assemblee-nationale.fr,Saint-Pierre-et-Miquelon,1,,,,,,,POUR
M.,Arnaud Viala,omc_pa709315,http://www2.assemblee-nationale.fr/static/tribun/15/photos/709315.jpg,Les Républicains,,,LR,,07 87 28 33 63,arnaud.viala@assemblee-nationale.fr,Aveyron,3,,,Présent,Contre,,,
M.,Vincent Ledoux,omc_pa712014,http://www2.assemblee-nationale.fr/static/tribun/15/photos/712014.jpg,"UDI, Agir et Indépendants",,,UNION DES DEMOCRATES RADICAUX ET LIBERAUX,,01 40 63 06 10,vincent.ledoux@assemblee-nationale.fr,Nord,10,,,,,,,POUR
M.,Julien Dive,omc_pa712015,http://www2.assemblee-nationale.fr/static/tribun/15/photos/712015.jpg,Les Républicains,,,LR,,01 40 63 05 01 OU 01 40 63 05 81,julien.dive@assemblee-nationale.fr,Aisne,2,,,Présent,Contre,,,
Mme,Marine Brenier,omc_pa713448,http://www2.assemblee-nationale.fr/static/tribun/15/photos/713448.jpg,Les Républicains,,,LR,,01 40 63 33 12,marine.brenier@assemblee-nationale.fr,Alpes-Maritimes,5,,,,,,,
Mme,Marielle de Sarnez,omc_pa717151,http://www2.assemblee-nationale.fr/static/tribun/15/photos/717151.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 42 11,marielle.desarnez@assemblee-nationale.fr,Paris,11,,,,,,,
M.,Sylvain Maillard,omc_pa717379,http://www2.assemblee-nationale.fr/static/tribun/15/photos/717379.jpg,La République en Marche,,,LREM,,01 40 63 93 13,sylvain.maillard@assemblee-nationale.fr,Paris,1,,,,,,,
Mme,Olga Givernet,omc_pa718674,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718674.jpg,La République en Marche,,,LREM,,01 40 63 67 26,olga.givernet@assemblee-nationale.fr,Ain,3,,,,,,,CONTRE
M.,Stéphane Trompille,omc_pa718682,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718682.jpg,La République en Marche,,,LREM,,01 40 63 68 66,stephane.trompille@assemblee-nationale.fr,Ain,4,,,,,,,CONTRE
M.,Marc Delatte,omc_pa718694,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718694.jpg,La République en Marche,,,LREM,,01 40 63 69 80,marc.delatte@assemblee-nationale.fr,Aisne,4,,,,,,,POUR
Mme,Emmanuelle Fontaine-Domeizel,omc_pa718706,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718706.jpg,La République en Marche,,,LREM,,01 40 63 76 61,emmanuelle.fontaine-domeizel@assemblee-nationale.fr,Alpes-de-Haute-Provence,2,,,,,,,POUR
Mme,Pascale Boyer,omc_pa718710,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718710.jpg,La République en Marche,,,LREM,,01 40 63 74 68,pascale.boyer@assemblee-nationale.fr ,Hautes-Alpes,1,,,Présent,Contre,,,CONTRE
M.,Jean-Paul Dufrègne,omc_pa718720,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718720.jpg,Gauche démocrate et républicaine,,,PCF,,01 40 63 71 13,jean-paul.dufregne@assemblee-nationale.fr,Allier,1,,,,,,,POUR
Mme,Laurence Vanceunebrock-Mialon,omc_pa718728,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718728.jpg,La République en Marche,,,LREM,,01 40 63 73 42,laurence.vanceunebrock-mialon@assemblee-nationale.fr,Allier,2,SIGNATAIRE,SIGNATAIRE,,,,,
Mme,Bénédicte Peyrol,omc_pa718736,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718736.jpg,La République en Marche,,,LREM,,PAS DE TEL,benedicte.peyrol@assemblee-nationale.fr,Allier,3,,,,,,,
Mme,Delphine Bagarry,omc_pa718744,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718744.jpg,La République en Marche,,,LREM,,04.92.35.58.41,dbagarry@delphinebagarry.fr delphine.bagarry@assemblee-nationale.fr,Alpes-de-Haute-Provence,1,,,,,,,
Mme,Aude Bono-Vandorme,omc_pa718756,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718756.jpg,La République en Marche,,,LREM,,01 40 63 93 10,aude.bono-vandorme@assemblee-nationale.fr,Aisne,1,,,,,,,
Mme,Alexandra Valetta Ardisson,omc_pa718768,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718768.jpg,La République en Marche,,,LREM,,Pas de Tel,alexandra.ardisson@assemblee-nationale.fr,Alpes-Maritimes,4,,,,,,,
Mme,Laurence Trastour-Isnart,omc_pa718780,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718780.jpg,Les Républicains,,,LR,,01 40 63 72 17,laurence.trastour-isnart@assemblee-nationale.fr,Alpes-Maritimes,6,,,,,,,POUR
M.,Éric Pauget,omc_pa718784,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718784.jpg,Les Républicains,,,LR,,04 93 67 03 30,e.pauget@orange.fr  eric.pauget@assemblee-nationale.fr,Alpes-Maritimes,7,,,,,,,
Mme,Danièle Hérin,omc_pa718794,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718794.jpg,La République en Marche,,,LREM,,01 40 63 73 08,daniele.herin@assemblee-nationale.fr,Aude,1,,SIGNATAIRE,,,PRESENT,CONTRE,CONTRE
M.,Alain Perea,omc_pa718802,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718802.jpg,La République en Marche,,,LREM,,01 40 63 73 10,alain.perea@assemblee-nationale.fr,Aude,2,,,,,,,
Mme,Mireille Robert,omc_pa718810,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718810.jpg,La République en Marche,,,LREM,,01 40 63 73 14,mireille.robert@assemblee-nationale.fr,Aude,3,,,,,,,
M.,Fabrice Brun,omc_pa718838,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718838.jpg,Les Républicains,,,LR,,01 40 63 72 46,fabrice.brun@assemblee-nationale.fr,Ardèche,3,,,,,,,
M.,Pierre Cordier,omc_pa718850,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718850.jpg,Les Républicains,,,LR,Apparenté au,01 40 63 05 13,pierre.cordier@assemblee-nationale.fr,Ardennes,2,,,,,,,
Mme,Bénédicte Taurine,omc_pa718860,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718860.jpg,La France insoumise,,,LFI,,01 40 63 71 17,benedicte.taurine@assemblee-nationale.fr,Ariège,1,,,,,,,
M.,Michel Larive,omc_pa718868,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718868.jpg,La France insoumise,,,LFI,,01 40 63 71 22,michellarive2017@gmail.com  michel.larive@assemblee-nationale.fr,Ariège,2,,,,,,,POUR
M.,Grégory Besson-Moreau,omc_pa718876,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718876.jpg,La République en Marche,,,LREM,,01 40 63 03 14,gregory.besson-moreau@assemblee-nationale.fr,Aube,1,,,Présent,Contre,,,CONTRE
Mme,Valérie Bazin-Malgras,omc_pa718884,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718884.jpg,Les Républicains,,,LR,,01 40 63 72 85,valerie.bazin-malgras@assemblee-nationale.fr,Aube,2,,,,,,,
M.,Loïc Dombreval,omc_pa718894,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718894.jpg,La République en Marche,,,LREM,,01 40 63 75 06,loic.dombreval@assemblee-nationale.fr,Alpes-Maritimes,2,SIGNATAIRE,SIGNATAIRE,,,,,CONTRE
M.,Cédric Roussel,omc_pa718902,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718902.jpg,La République en Marche,,,LREM,,01 40 63 73 75,cedric.roussel@assemblee-nationale.fr,Alpes-Maritimes,3,,,,,,,
Mme,Claire Pitollat,omc_pa718910,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718910.jpg,La République en Marche,,,LREM,,PAS DE TEL,claire.pitollat@assemblee-nationale.fr,Bouches-du-Rhône,2,,,,,,,
Mme,Alexandra Louis,omc_pa718918,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718918.jpg,La République en Marche,,,LREM,,01 40 63 31 07,alexandra.louis@assemblee-nationale.fr,Bouches-du-Rhône,3,,,,,,,
M.,Pierre Dharréville,omc_pa718926,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718926.jpg,Gauche démocrate et républicaine,,,PCF,,01 40 63 71 85,pierre.dharreville@assemblee-nationale.fr,Bouches-du-Rhône,13,,,,,PRESENT,POUR,CONTRE
Mme,Anne-Laurence Petel,omc_pa718930,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718930.jpg,La République en Marche,,,LREM,,01 40 63 04 64,anne-laurence.petel@assemblee-nationale.fr,Bouches-du-Rhône,14,SIGNATAIRE,,,,PRESENT,CONTRE,NE VEUT PAS REPONDRE
Mme,Cathy Racon-Bouzon,omc_pa718944,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718944.jpg,La République en Marche,,,LREM,,01 40 63 31 08,cathy.racon-bouzon@assemblee-nationale.fr,Bouches-du-Rhône,5,,,,,,,
M.,Saïd Ahamada,omc_pa718954,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718954.jpg,La République en Marche,,,LREM,,01.40.63.31.09,said.ahamada@assemblee-nationale.fr,Bouches-du-Rhône,7,SIGNATAIRE,,,,,,
M.,Jean-Marc Zulesi,omc_pa718962,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718962.jpg,La République en Marche,,,LREM,,01 40 63 62 59,jean-marc.zulesi@assemblee-nationale.fr,Bouches-du-Rhône,8,SIGNATAIRE,SIGNATAIRE,Présent,Pour,,,
M.,Mohamed Laqhila,omc_pa718978,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718978.jpg,Mouvement Démocrate et apparentés,,,MODEM,,01 40 63 75 87,mohamed.laqhila@assemblee-nationale.fr,Bouches-du-Rhône,11,,,,,,,
Mme,Anne Blanc,omc_pa718990,http://www2.assemblee-nationale.fr/static/tribun/15/photos/718990.jpg,La République en Marche,,,LREM,,01 40 63 73 18,anne.blanc@assemblee-nationale.fr,Aveyron,2,,,,,,,
M.,Fabrice Le Vigoureux,omc_pa719006,http://www2.assemblee-nationale.fr/static/tribun/15/photos/719006.jpg,La République en Marche,,,LREM,,01 40 63 31 17,fabrice.levigoureux@assemblee-nationale.fr,Calvados,1,SIGNATAIRE,,,,,,
